Name,Score,Address,Reviews
포메인 수내점,3.0,"성남시 분당구 황새울로214번길 8 MS프라자 2층 205,206호","해물쌀국수 메뉴판 사진이랑 너무 다른거 아닌가요대하가 있겠거니 하고 주문했는데 칵테일새우가 있네요|맛있고 양도 많이 줍니다.|포메인이 체인인데도 매장마다 맛이 살짝 다른 줄을,이곳에서 먹어보고 알았네요.국물 맛이 익숙하진 않는데 그래도 제 입맛에는 좀 아닌듯 했습니다. 아내는 좋아한다고 하니 호불호가 갈리는것 같습니다.||음식이 맛있습니다^^|염색한 남자 종업원이 너무 불친절하네요 식사하기도 전에 기분이 다 안좋아지네요..|친절하고 맛있어요.|맛잇어요. 직원분도 친절하요|재난지원금 된다해서 시켰더니 안되는 코미디|적당한 월남쌈/ 쌀국수 집전형적인 포메인임"
홍대쌀국수 NC백화점 야탑점,2.3,성남시 분당구 야탑로81번길 11 지하1층,"고기쌀국수 달라니까 그냥쌀국수를 주네 만들다가 고기흘렸는지 쥐콩만하게 라면고기만하게있네|겁나빨리나옴|이름은 홍대쌀국수인데 일하는 사람은 동남아 외노자들뿐. 그래서 한국말 못 알아먹는건 기본. 못 알아먹는건지, 알아듣고도 반말로 찍찍 내뱉는건지 어휴... 게다가 음식은 대충 만들다만 느낌. 이런애들한테 내국인 기준의 최저임금시급을 주는건가요??|가끔 국물이 물 많이 탄듯 싱거울 때가 꽤 된다"
홍대쌀국수 이마트분당점,3.3,성남시 분당구 불정로 134 3층,주방직원이 외국인들같은데 마스크도 안쓰고 밥만들면서 음식에 침들어가게 계속 떠들면서 만듬..더러워요|여기가 먹어본곳중에최고임||가성비는 굿|가성비가 좋습니다. 쌀국수 국물도 진한 편입니다.||직원분이 너무 불친절해요.. 웬만하면 가게 후기들 다 좋게 남기는데 기분만 상하고 왔어요
포메인 분당오리역점,2.4,"성남시 분당구 성남대로 51 분당포스빌오피스텔 1층 165,166호","|지나가다 냄새에 끌려 들어 갔는데 시간을 되돌려 내 멍청한 코를 때려 버리고 싶다. 프리미엄 소고기가 이렇게 퍼석퍼석한... 국수면은 툭툭 끊겨 있다. 먹기 좋게 가위질이라도 해주신 줄... 이게 15500이라니, 냉면 한그릇에 18000원이라 해도 봉피양은 혜자임에 틀림 없다. 별 하나 주고 싶은데 그래도 친절해서 2개 던진다.|맛은 체인이라 뭐 아는맛인데친절하셨습니다.|포메인 닭고기 볶음밥을 아이들이 좋아해서 거의 10년간 단골메뉴인데, 주인 바뀐 이후로 어느날 가서 시켰더니 닭고기 볶음밥에 야채만 있고 닭고기는 거의 없네요. 있어도 야채크기만한 몇개. 원래는 큼지막한 뭉터기 고기가 있어야 하는데. 재료 아끼는 음식점은 꽝!|너무 맛나요 친절하시고|메뉴 3개 시켜 다 실패함||옆에 좀만 가면 베트남 쌀국수 4500원짜리 있는데, 이게 9500원이라니... 양도 적고, 맛도 다를거 없는데, 왜 이렇게 비싼지 이해 불가. 서비스가 그만큼 좋으면 이해할텐데 그것도 아님. 먹어도 배고픈 9.5 음식은 처음이다."
포아델,3.9,성남시 분당구 구미로 191 1층 103호,"몇년전 주인바뀌고 갔을때 고명으로 얹은 견과류에서 쩐내가 난 이후 한~동안 안갔다가 등산후 마땅히 갈데가 없어서 지난주에 한번 갔구~오늘은 집밥이 지겨워서 갔는데 양파절임이 없어서 달라고 하니 셀프(퉁명스런말투)라고 하다가 첨은 갔다준다네요~ 또 달라고 하면 기분언잖게 할까봐 셀프바에 가니 양파절임이 없다고 하니 그제서야 리필해 주는데 얻어 먹으러 간것도 아니고 내돈 내고 먹는데도 이런 하찮은 대접을 받아야 하는건지~ 계산할때도 그렇고~불친절한 말투 냉냉한 행동 다시는 오지 말라는거 맞죠?|몇년전 갔을때도 평범하네했는데다시 가서도..더 맛이 없어진듯면양이 많다는 장점외에는 그닥..쌀국수 국물 깊은 맛없고 밍밍팟타이도 그닥..업체지원 리뷰가 많아서 의심스러웠는데다시 갔어도 그닥이었음.||쌀국수 넘 맛있어요!! 직원분들도 항상 친절하세요🥰|와이프 조리원 근처에서 맛집을 찾았네요. 잘먹었어요.|여기 완전 괜찮아요쌀국수도 밥도 갈때마다 만족해요무엇보다 주방 깨끗한게 그냥 음식 보면 다 느껴짐|큐브스테이크덮밥존맛친절강추마라쌀국수포아델 쌀국수완탕도존맛|사장님이 바뀌어서 그런지 한 겨울 날씨에 예전처럼 따뜻한 쟈스민차도 없다고 하고, 한창 점심 시간대에 쌀국수 먹으러 갔는데 고기 삶느라 지금 쌀국수 못해준다 하고 예전보다 좋아진 거 하나도 모르겠음. 게다가 가격도 더 비싸지고... 점심 시간에 쌀국수 집에서 쌀국수를 못판다 하는게 말이 되는 건지 싶은 황당한 기분. 몇 년 단골이었는데 오랜 친구를 잃어버린 느낌이었달까...|화이트톤의 깔끔한 인테리어음식이신선함"
스트릿 현대백화점판교점,2.6,성남시 분당구 판교역로146번길 20 지하1층,"아… 가지볶음밥 하시던 요리사님은 그만 두셨나봐요. 소울이 없어진 맛 ㅠ 가끔 생각나서 일부러 와서 먹곤 했는데… 마라탕 그것도 없어지고.. 꿔바로우 소스도 전보다 형편 없네요. 돈아까워서 그냥 다 먹었어요. 다신 안올듯.|두번째 방문인데 가지덮밥 파이구 볶음밥 맛있게 먹었네요가성비는 안 바라고 중독적인 맛이라 또 찾았습니다세번째 방문에 완탕쌀국수 싱겁고 면은 다 불어있음|마늘쫑돼지고기 덮밥 먹었는데 진짜 심각하게 달고 짭니다. 간장을 엎어서 짠맛 가리려고 설탕을 들이부었나 싶을정도로요. 혀가 아려요. 밥만 좀 먹다 남겼네요. 푸드코트 방식인데 자리 닦아주는 직원도 없고 음식나오는데 20분 걸렸어요. 참고하세요|살면서 먹어본 쏨땀 중 최악…. 세상에 없는맛|백화점 지하푸드치고 너무 오래기다려야하고 맛도 별로에요 크림새우 튀김옷도 너무 두껍고 속까지 다안익힘 맛없어요|매니저 진짜 불친절하다 포장주문했는데 약속시간 보다 10분이상 지연시켜놓고 미안하다고 말한마디 안하고 설명도 안하고 퉁명스럽게 무표정으로 표정썩어서 음식주네|꽤 맛있네요. 새우는 3개? 정도 들어있었던거같어요. 밍밍할까봐 걱정했는데 맛있어요. 혼밥하기도 좋아요. 추천!메뉴: 새우완탕쌀국수 9,300원|spc것 치고 기대보다 맛남|가지덮밥이랑 꽃빵 멘보샤가 맛있음. 쌀국수는 약간 애매.|시그니처세트. 비주얼에 비해 간과 맛이 심심함. 그것보다 더 별로는 매니저인지 퉁명스러워서뭐지 싶어 기분망침. 그 사람만 아니었으면 보통맛이었을지도.|댓글에 다들 뭐하시는 분들이세요?? 가지덮밥 먹어보고 평을 하세요!! 모든걸 상쇄시키는 존맛이에요!!!|최근 먹어본 일본 라면중 최악입니다. 레토르트가 더 맛있을 것 같아요. 맛도 없지만 음식 받으러 갔는데 쳐다도 안 보는 서비스도 최악입니다. 손님이 음식 받으러 오면 인사는 안해도 어떤 쟁반을 가져가야되는지 정도는 알려줘야하지 않겠습니까?|음식도 그냥 그런데 직원분들 교육을 다시하셔야할것같아요. 손님을 대하는 태도가 너무 예의없어요.|비쌈. 카운터 백화점 서비스 교육이 필요한듯|우육면이랑 쌀국수맛이 변했네요 ㅠ 덜 깊어지고 짜진 느낌..다음에 한번 더 와서 먹어봐야겠네요. 대만 생각나고 좋았는데..|맛있네요|마라우육탕면 먹어봤는데 고기가 크고 괜찮았어요~|비싸고 면은 별로"
메콩타이 수내점,4.0,성남시 분당구 백현로101번길 17,맛있었어요~||친절하고 만족스러운 식사였어요.|팟타이 나시고랭은 단맛만 나고공심채 볶음은 양념과 재료가 따로 노는 느낌이 강하다.제일 맛있게 마신건 기본제공 자스민차이다.기대하지말고 가자.|정말 양이 많기 때문에 쌀국수 같은 경우에는 라지 시키려면 정말 신중해야 함. 맛에 있어서도 분당 지역 쌀국수집들 중에서 단연 최고라고 생각함.|월남쌈 푸짐하게 잘 먹고 갑니다.|
국수나무 분당삼평점,5.0,성남시 분당구 판교로 372 2층 201호,푸짐하고 맛있음|냉국수|여러번 방문해서 식사하고 있어요! 사장님도 너무 친절하시고 주메뉴인 국수 말고 다른 메뉴들도 맛있어요🙂 입소문 나서 더더더 잘되셨음 좋겠어요|사장님 너무 친절하시고 쌀국수 깔끔하게 맛있어요!!☺️단무지도 직접 담그신다고 했는데 건강하게 상콤했어용|
사이공본가 미금점,1.4,성남시 분당구 돌마로 47 이코노샤르망 102호,마감을 9시에 할거면 영업시간을 바꾸세요 8:50에 갔는데 못먹음|손님 응대: 0점위생 및 청결: 바닥과 테이블 좀 닦으세요.음식: 가격이 착하다고 음식이 별로면 좋아할까요?죄송하지만 지인에게 추천하고 싶진 않은 음식점.|알바생 주방에서 양치하고 마스크 안낀채 기침하는 거 보고 기함.. 위생 최악|가성비 좋네요. 3.3점 입니다|싼마이로 간다지만.. 너무 별로임 위생.맛 뭐하나 제대로된게없는.. 그냥 저렴하게 배채우실분들은 괜찮을수도..
조이포 판교점,5.0,성남시 분당구 대왕판교로 660 유스페이스 A동 1층 127호,"우연히 야근하다 볶음밥 주문해먹었엇는데 맛있게 먹었어서어제 퇴근길에 볶음밥 포장했습니다.진짜 사장님(?)직원분들 다들 너무 친절하셔서 기분좋았어요.맛은 뭐 당연히 맛있게 먹었고요.번창하세용!|사장님 두 분 모두 진짜 친절하시고 좋아요맛도 전반적으로 다 괜찮습니다|여기 다른메뉴보다 쌀국밥이 독특하구 맛남|판교 테크노밸리 쌀국수집 중에서 제일 나음맛과 양, 가격 모든면에서.|우연히 들어갔는데 맛집이었네요."
조이포베트남쌀국수,0.0,성남시 분당구 대왕판교로 660, 
